date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:28:36	73559/73559	---M-Z	200	added ('OK')	text/html	etag:%2211f57-5ec6a96aa8780-gzip%22	https://caketheme.com/html/ruper/index10.html	C:/My%20Web%20Sites/template_pwpbbaru/ambil%20atasnya/caketheme.com/html/ruper/index10.html	(from )
08:28:36	134/134	---M-Z	200	added ('OK')	text/plain	etag:%22b5-5f6660693cd40-gzip%22	https://caketheme.com/robots.txt		(from )
08:28:37	6810/6810	---M--	200	added ('OK')	image/png	etag:%221a9a-5ec66e39ba140%22	https://caketheme.com/html/ruper/media/favicon.png	C:/My%20Web%20Sites/template_pwpbbaru/ambil%20atasnya/caketheme.com/html/ruper/media/favicon.png	(from https://caketheme.com/html/ruper/index10.html)
08:28:37	13657/13657	---M-Z	200	added ('OK')	text/css	etag:%223559-5ec66ea395b00-gzip%22	https://caketheme.com/html/ruper/libs/feather-font/css/iconfont.css	C:/My%20Web%20Sites/template_pwpbbaru/ambil%20atasnya/caketheme.com/html/ruper/libs/feather-font/css/iconfont.css	(from https://caketheme.com/html/ruper/index10.html)
08:28:37	144831/144831	---M-Z	200	added ('OK')	text/css	etag:%22235bf-5ec66e88e1c00-gzip%22	https://caketheme.com/html/ruper/libs/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/template_pwpbbaru/ambil%20atasnya/caketheme.com/html/ruper/libs/bootstrap/css/bootstrap.min.css	(from https://caketheme.com/html/ruper/index10.html)
08:28:38	1677/1677	---M-Z	200	added ('OK')	text/css	etag:%2268d-5ec66e9ed0fc0-gzip%22	https://caketheme.com/html/ruper/libs/icomoon-font/css/icomoon.css	C:/My%20Web%20Sites/template_pwpbbaru/ambil%20atasnya/caketheme.com/html/ruper/libs/icomoon-font/css/icomoon.css	(from https://caketheme.com/html/ruper/index10.html)
08:28:38	38669/38669	---M-Z	200	added ('OK')	text/css	etag:%22970d-5ec66eaf07600-gzip%22	https://caketheme.com/html/ruper/libs/font-awesome/css/font-awesome.css	C:/My%20Web%20Sites/template_pwpbbaru/ambil%20atasnya/caketheme.com/html/ruper/libs/font-awesome/css/font-awesome.css	(from https://caketheme.com/html/ruper/index10.html)
08:28:38	2301/2301	---M-Z	200	added ('OK')	text/css	etag:%228fd-5ec66e963bb80-gzip%22	https://caketheme.com/html/ruper/libs/wpbingofont/css/wpbingofont.css	C:/My%20Web%20Sites/template_pwpbbaru/ambil%20atasnya/caketheme.com/html/ruper/libs/wpbingofont/css/wpbingofont.css	(from https://caketheme.com/html/ruper/index10.html)
08:28:38	24661/24661	---M-Z	200	added ('OK')	text/css	etag:%226055-5ec66e9177040-gzip%22	https://caketheme.com/html/ruper/libs/elegant-icons/css/elegant.css	C:/My%20Web%20Sites/template_pwpbbaru/ambil%20atasnya/caketheme.com/html/ruper/libs/elegant-icons/css/elegant.css	(from https://caketheme.com/html/ruper/index10.html)
08:28:39	1776/1776	---M-Z	200	added ('OK')	text/css	etag:%226f0-5ec66e8cb2500-gzip%22	https://caketheme.com/html/ruper/libs/slick/css/slick.css	C:/My%20Web%20Sites/template_pwpbbaru/ambil%20atasnya/caketheme.com/html/ruper/libs/slick/css/slick.css	(from https://caketheme.com/html/ruper/index10.html)
08:28:39	3151/3151	---M-Z	200	added ('OK')	text/css	etag:%22c4f-5ec66e8cb2500-gzip%22	https://caketheme.com/html/ruper/libs/slick/css/slick-theme.css	C:/My%20Web%20Sites/template_pwpbbaru/ambil%20atasnya/caketheme.com/html/ruper/libs/slick/css/slick-theme.css	(from https://caketheme.com/html/ruper/index10.html)
08:28:39	56686/56686	---M-Z	200	added ('OK')	text/css	etag:%22dd6e-5ec66ea85a640-gzip%22	https://caketheme.com/html/ruper/libs/mmenu/css/mmenu.min.css	C:/My%20Web%20Sites/template_pwpbbaru/ambil%20atasnya/caketheme.com/html/ruper/libs/mmenu/css/mmenu.min.css	(from https://caketheme.com/html/ruper/index10.html)
